2013-05-07 18:45:24	NIKE shoes	450 	0
2013-04-07 18:45:25	NIKE shoes	450 	0
2013-05-03 18:45:25	NIKE shoes	450 	0
2013-05-07 18:45:26	NIKE shoes	450 	0
2013-05-12 18:45:26	NIKE shoes	450 	0
2013-05-07 18:45:27	NIKE shoes	450 	0
2013-05-07 18:45:27	NIKE shoes	450 	0
2013-05-02 18:45:28	NIKE shoes	450 	0
2013-05-23 18:45:43	NIKE shoes	450 	0
2013-05-12 18:45:47	NIKE shoes	450 	0
2013-05-07 19:07:05	'NIKE shoes'	450 	0
2013-05-30 00:26:24	'NIKE shoes'	450 	0
2013-05-30 00:26:26	'NIKE shoes'	450 	0
2013-05-30 00:26:28	'NIKE shoes'	450 	0
2013-05-30 00:50:24	'Samsung S3'	4050 	0
2013-05-30 00:53:27	'Withdraw'	1000 	0
2013-05-30 01:06:40	'Withdraw'	1000 	50.0
2013-05-30 01:07:25	'Withdraw'	800 	40.0
2013-05-30 01:13:08	8906143632	'Withdraw'	800 	40.0
2013-05-30 01:14:43	8906143632	'Withdraw'	800 	40.0
2013-05-30 01:14:44	8906143632	'Withdraw'	800 	40.0
2013-05-30 01:14:45	8906143632	'Withdraw'	800 	40.0
2013-05-30 01:14:46	8906143632	'Withdraw'	800 	40.0
2013-05-30 01:14:47	8906143632	'Withdraw'	800 	40.0
2013-05-30 01:14:48	8906143632	'Withdraw'	800 	40.0
2013-05-30 01:14:49	8906143632	'Withdraw'	800 	40.0
2013-05-30 01:14:49	8906143632	'Withdraw'	800 	40.0
2013-05-30 01:14:51	8906143632	'Withdraw'	800 	40.0
2013-05-30 01:19:04	8906143632	'Withdraw'	800 	40.0
2013-05-30 01:19:12	8906143632	'Withdraw'	800 	40.0
2013-05-30 01:20:15	8908223631	'Withdraw'	2000 	100.0
2013-05-30 01:20:28	8908223631	'Withdraw'	2000 	100.0
2013-05-30 01:21:30	8908223631	'Withdraw'	2000 	100.0
2013-06-12 00:00:03	8908223631	'Withdraw'	2000 	100.0
2013-06-12 04:49:50	123456	'Buy food for Bigbrother'	342 	0
2013-06-12 04:50:45	123456	'Buy food for ZhengDongxu'	342 	0
2013-06-12 04:50:58	123456	'Buy food for ZhengDongxu'	342 	0
2013-06-12 04:50:58	123456	'Buy food for ZhengDongxu'	342 	0
2013-06-12 04:50:59	123456	'Buy food for ZhengDongxu'	342 	0
2013-06-12 04:50:59	123456	'Buy food for ZhengDongxu'	342 	0
2013-06-12 04:51:00	123456	'Buy food for ZhengDongxu'	342 	0
2013-06-12 04:51:00	123456	'Buy food for ZhengDongxu'	342 	0
2013-06-12 04:51:00	123456	'Buy food for ZhengDongxu'	342 	0
2013-06-12 04:51:01	123456	'Buy food for ZhengDongxu'	342 	0
